id,name,party,type
500,Folge 500,NA,1
501,Folge 501,NA,1
502,Folge 502,NA,1
503,Folge 503,NA,1
CDU,CDU,CDU,2
SPD,SPD,SPD,2
FDP,FDP,FDP,2
Bündnis 90/Die Grünen,Bündnis 90/Die Grünen,Bündnis 90/Die Grünen,2
Die Linke,Die Linke,Die Linke,2
uvdl,Ursula von der Leyen,CDU,2
lk,Lars Klingbeil,SPD,2
nr,Norbert Röttgen,CDU,2
sw,Sarah Wagenknecht,Die Linke,2
cs,Constanze Stelzenmüller,NA,2
cl,Christian Lindner,FDP,2
ks,Karl Schlögel,NA,2
lm,Ljudmyla Melnyk,NA,2
kd,Kristina Dunz,NA,2
el,Egils Levits,NA,2
ab,Annalena Baerbock,Bündnis 90/Die Grünen,2
ft,Frans Timmermans,NA,2
am,Andrij Melnyk,NA,2
agl,Alexander Graf Lambsdorff,FDP,2
er,Egon Ramms,NA,2
rh,Robert Habeck,Bündnis 90/Die Grünen,2
cm,Claudia Major,NA,2
kp,Katja Petrowskaja,NA,2
rk,Roderich Kiesewetter,CDU,2
